yil,oy,kun,H,X,T,Q
2020,2,61,212,15.5,-4,13.1
2020,3,62,211,2.1,-6,12.8
2020,4,63,211,0.6,-5.3,12.5
2020,5,64,212,,-2.3,12.5
2020,6,65,212,5.1,-2.5,12.5
2020,7,66,212,,-2.4,12.5
2020,8,67,212,,-1.2,12.8
2020,9,68,213,1.2,-2,12.8
2020,10,69,213,0.8,-4.9,12.8
2020,11,70,212,0.2,-7,12.5
2020,12,71,211,,-4.2,12.2
2020,13,72,212,0.5,-6.5,12.2
2020,14,73,213,0.4,-5.8,11.8
2020,15,74,213,,-1.5,12.2
2020,16,75,214,9.1,0.3,12.8
2020,17,76,214,,3,13.4
2020,18,77,214,7.2,1.5,14.1
2020,19,78,217,10.3,2.3,15.2
2020,20,79,216,,4.2,15.5
2020,21,80,218,14.3,5.8,17.9
2020,22,81,221,31,5.1,34.1
2020,23,82,222,2.4,6.9,37.6
2020,24,83,224,,7.1,33.4
2020,25,84,224,,7.2,31.4
2020,26,85,225,10.7,3.2,38.4
2020,27,86,229,21.2,4.4,39.1
2020,28,87,228,,8.6,46.4
2020,29,88,229,4.3,8.1,50.9
2020,30,89,233,25,5.6,63.1
2020,31,90,231,0,6.7,56.8
2020,1,91,233,35.9,4.5,59.9
2020,2,92,233,12.2,4.5,55.8
2020,3,93,236,14.8,-0.1,51.9
2020,4,94,232,0.3,-0.6,45.6
2020,5,95,229,1,-0.9,41.5
2020,6,96,227,2.6,-0.8,36.9
2020,7,97,228,,1.4,35.5
2020,8,98,226,,4.1,34.8
2020,9,99,227,,6.9,96.7
2020,10,100,227,,9,109
2020,11,101,231,4.9,7,124
2020,12,102,234,9.6,8.5,142
2020,13,103,320,75.8,2.3,188
2020,14,104,282,,5.4,159
2020,15,105,267,,11.9,142
2020,16,106,256,,15.7,129
2020,17,107,262,23.8,10.4,121
2020,18,108,269,,11.7,111
2020,19,109,263,,12.9,122
2020,20,110,261,5.4,13.1,114
2020,21,111,264,6.2,9.8,109
2020,22,112,256,,8.5,102
2020,23,113,255,,11,95.5
2020,24,114,253,,14.1,91
2020,25,115,247,,17.3,86.5
2020,26,116,247,,16.3,82.5
2020,27,117,248,3,9.2,78.8
2020,28,118,244,5.9,1.5,73.8
2020,29,119,243,2.9,2.3,70.5
2020,30,120,241,,4.6,65.3
2020,1,121,243,,9.2,60.5
2020,2,122,242,,11.4,56.9
2020,3,123,241,,13.6,54
2020,4,124,240,,14.8,63.4
2020,5,125,239,,15.5,72.5
2020,6,126,244,14.7,13.9,82.8
2020,7,127,245,34.7,11.5,100
2020,8,128,242,,12.1,84.2
2020,9,129,241,,15.7,74.2
2020,10,130,240,,17.3,80.3
2020,11,131,240,,17.7,86.8
2020,12,132,239,,18.9,86.8
2020,13,133,238,,19.8,79.1
2020,14,134,239,,20.5,79.1
2020,15,135,238,,19.5,80.3
2020,16,136,238,,17.3,82.9
2020,17,137,241,4,15.9,81.6
2020,18,138,242,21.8,12.3,100
2020,19,139,240,3,12.4,88.1
2020,20,140,239,,15.4,76.6
2020,21,141,239,,18.3,73
2020,22,142,238,,20.2,73
2020,23,143,240,1.1,18.2,73
2020,24,144,239,,18.3,73
2020,25,145,238,,20.3,73
2020,26,146,237,,17.2,74.2
2020,27,147,236,,19,74.2
2020,28,148,238,9,18,71.8
2020,29,149,236,1,18.2,70.6
2020,30,150,235,2.2,14.5,71.8
2020,31,151,235,,14.1,68.3
2020,1,152,237,,15.8,63.7
2020,2,153,236,,17.4,61.5
2020,3,154,235,,18.7,59.4
2020,4,155,235,5,15.1,58.3
2020,5,156,236,,15.1,60.5
2020,6,157,235,,15.2,59.4
2020,7,158,234,,14.6,55.2
2020,8,159,234,,16.9,54.1
2020,9,160,234,,18.5,55.2
2020,10,161,233,,19.7,55.2
2020,11,162,232,,18.5,55.2
2020,12,163,232,,19.5,56.2
2020,13,164,232,3.2,19.5,55.2
2020,14,165,232,,21,52.1
2020,15,166,231,,18.2,53.1
2020,16,167,231,,20.1,55.2
2020,17,168,230,,22.1,53.1
2020,18,169,230,,23.2,51.1
2020,19,170,230,,21.6,50.1
2020,20,171,230,,21.2,51.1
2020,21,172,229,,22.5,50.1
2020,22,173,230,,23.5,47.2
2020,23,174,229,,23.1,49.2
2020,24,175,229,,20.2,51.1
2020,25,176,229,0.3,18.4,48.2
2020,26,177,230,,20.9,44.4
2020,27,178,230,1.2,18,44.4
2020,28,179,229,,18.5,41.7
2020,29,180,229,,19.5,39.9
2020,30,181,229,,20.8,39.9
2020,1,182,228,,20.6,38.2
2020,2,183,226,,21.7,36.5
2020,3,184,226,,23.4,36.5
2020,4,185,225,,23.5,37.4
2020,5,186,223,,25.1,38.2
2020,6,187,224,,25.4,36.5
2020,7,188,222,,26.5,35.7
2020,8,189,222,,27.7,34.9
2020,9,190,221,,27.2,34.1
2020,10,191,220,,24.8,33.3
2020,11,192,220,,23.1,31.7
2020,12,193,219,,21.8,30.2
2020,13,194,219,3.3,17.5,30.2
2020,14,195,219,,17.7,28.7
2020,15,196,220,,18.3,27.3
2020,16,197,219,,19.3,27.3
2020,17,198,218,,18.8,26.6
2020,18,199,218,,19.5,25.2
2020,19,200,218,,20.4,24.5
2020,20,201,218,,21.3,23.8
2020,21,202,218,,21.7,23.8
2020,22,203,219,,23.1,23.2
2020,23,204,219,,23.4,23.2
2020,24,205,219,,23.3,22.5
2020,25,206,220,,24.9,21.9
2020,26,207,220,,25.5,21.9
2020,27,208,220,,26.3,21.3
2020,28,209,220,,24.4,21.3
2020,29,210,219,0.1,25.1,21.3
2020,30,211,219,,24.8,20.6
2020,31,212,218,,25.2,20
2020,1,213,219,,23.8,19.4
2020,2,214,218,,23.1,18.8
2020,3,215,219,,22.8,18.2
2020,4,216,218,9,17.8,19.4
2020,5,217,217,,19.5,17.7
2020,6,218,217,,22.2,17.7
2020,7,219,216,,24.7,17.1
2020,8,220,215,,25.6,17.1
2020,9,221,215,,25.4,16.6
2020,10,222,215,,23.9,16.6
2020,11,223,214,0.1,19,16.6
2020,12,224,214,,15.7,16
2020,13,225,214,,15.3,15.5
2020,14,226,213,,16.1,15.5
2020,15,227,212,,17.6,15
2020,16,228,213,,18.5,15
2020,17,229,212,,16.5,14.4
2020,18,230,212,,17.2,14.4
2020,19,231,212,,18.2,13.9
2020,20,232,211,,18.7,13.9
2020,21,233,212,,18.4,13.9
2020,22,234,212,,19.7,13.9
2020,23,235,213,,20.2,13.4
2020,24,236,213,,21.3,13.4
2020,25,237,213,,20.4,12.9
2020,26,238,213,,19.9,12.9
2020,27,239,213,,20.2,12.5
2020,28,240,213,,20.4,12.5
2020,29,241,212,,20.9,12
2020,30,242,211,,22.2,12
2020,31,243,212,,22.6,12
2020,1,244,213,,22.1,12
2020,2,245,213,,21.7,11.5
2020,3,246,212,,20,11.5
2020,4,247,212,,20.1,11.5
2020,5,248,213,,21,11.1
2020,6,249,212,,21,11.1
2020,7,250,211,,18.1,11.1
2020,8,251,211,,19.4,11.1
2020,9,252,210,,20.7,10.7
2020,10,253,210,,18.5,10.7
2020,11,254,210,,17.2,10.7
2020,12,255,211,,15.1,10.2
2020,13,256,211,,14.8,10.2
2020,14,257,210,,15,10.2
2020,15,258,211,,15.4,10.2
2020,16,259,210,,17.3,9.8
2020,17,260,210,,16.2,10.2
2020,18,261,211,,16.2,10.2
2020,19,262,211,,17,10.2
2020,20,263,212,,18.6,9.8
2020,21,264,213,,17.7,9.39
2020,22,265,212,,17.6,9.39
2020,23,266,212,,16.4,9.39
2020,24,267,213,,14.2,8.99
2020,25,268,212,,11.8,8.99
2020,26,269,211,,12.8,8.99
2020,27,270,214,8.6,10.7,9.39
2020,28,271,213,16,7.9,9.8
2020,29,272,215,15.9,3.8,10.2
2020,30,273,216,10.1,0.7,10.7
2020,1,274,213,,6.7,10.2
2020,2,275,212,1.2,11.2,9.39
2020,3,276,213,3.3,10.3,9.8
2020,4,277,212,3.4,3.7,11.1
2020,5,278,212,,3.1,11.1
2020,6,279,212,,5.1,10.2
2020,7,280,214,1.2,5.9,9.8
2020,8,281,215,,9.1,9.39
2020,9,282,214,,12.4,9.39
2020,10,283,214,,14.3,9.39
2020,11,284,213,,14.9,8.99
2020,12,285,213,,15.4,8.99
2020,13,286,212,,14.5,8.99
2020,14,287,213,,12.9,8.21
2020,15,288,214,,12.1,8.21
2020,16,289,215,2.3,11,8.21
2020,17,290,215,,12.7,8.21
2020,18,291,214,24.1,4.2,9.39
2020,19,292,213,0.7,3.7,8.99
2020,20,293,214,,6.4,8.6
2020,21,294,213,,9.2,8.6
2020,22,295,214,,8.3,8.6
2020,23,296,213,,9.3,8.6
2020,24,297,214,,9.6,8.21
2020,25,298,213,,9.9,8.21
2020,26,299,212,,10.6,8.21
2020,27,300,212,,10.6,8.21
2020,28,301,213,,12.1,7.84
2020,29,302,213,,13.1,7.84
2020,30,303,214,,15.5,7.84
2020,31,304,215,,17.1,7.84
2020,1,305,213,,17.3,7.84
2020,2,306,212,,17.9,7.84
2020,3,307,213,,11.1,7.84
2020,4,308,214,,8.5,7.84
2020,5,309,215,,10.3,7.84
2020,6,310,215,,11.1,7.84
2020,7,311,215,,5.8,7.84
2020,8,312,212,,4.2,7.47
2020,9,313,213,0.2,4.6,7.47
2020,10,314,213,0.1,5.5,7.47
2020,11,315,214,,7.5,7.47
2020,12,316,213,,9.4,7.47
2020,13,317,214,,8.9,7.47
2020,14,318,213,,5.8,7.12
2020,15,319,212,,2.5,7.12
2020,16,320,212,,1.5,7.12
2020,17,321,212,,1.7,7.12
2020,18,322,212,,1.4,7.12
2020,19,323,213,1.1,0,7.12
2020,20,324,212,,3.4,7.12
2020,21,325,213,,6,7.12
2020,22,326,213,,7.7,6.77
2020,23,327,213,,8.8,6.77
2020,24,328,212,,9.6,6.77
2020,25,329,212,,7.6,6.77
2020,26,330,214,28.7,-0.4,7.47
2020,27,331,214,0.2,-4.2,7.12
2020,28,332,213,,-0.2,6.77
2020,29,333,212,3.2,0.1,8.99
2020,30,334,212,1,-0.8,7.12
2020,1,335,213,6.2,-0.8,6.77
2020,2,336,213,14,-6.8,7.12
2020,3,337,214,,-9.2,6.77
2020,4,338,213,,-9.9,6.43
2020,5,339,213,1.6,-9.6,6.43
2020,6,340,213,,-8.5,6.43
2020,7,341,213,,-1.3,6.1
2020,8,342,214,,7,6.43
2020,9,343,213,1.7,1,6.7
2020,10,344,213,1.4,-2.7,6.7
2020,11,345,212,,-1.7,6.43
2020,12,346,212,,-2.6,6.43
2020,13,347,213,,-4.3,6.43
2020,14,348,212,,-3.2,6.43
2020,15,349,211,,-1.8,6.43
2020,16,350,212,,-1,6.1
2020,17,351,213,,-0.3,6.1
2020,18,352,212,1.1,0.4,6.1
2020,19,353,213,0.3,4.4,6.1
2020,20,354,212,0.2,4.1,6.1
2020,21,355,213,0.3,2.6,6.1
2020,22,356,213,,2.4,8.01
2020,23,357,212,0.3,1.5,8.25
2020,24,358,212,,3.2,8.54
2020,25,359,214,8,7.2,8.89
2020,26,360,216,42.4,-0.3,9.82
2020,27,361,215,12.8,-6.9,9.17
2020,28,362,214,,-4.3,8.65
2020,29,363,214,,2.5,8.36
2020,30,364,215,,3.9,8.06
2020,31,365,215,,3.2,7.77
